"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"30-Jul-2021","-","-","-","     6526.35","       81625622","         2677.09"
"02-Aug-2021","-","-","-","     6641.86","       57281695","         2323.30"
"03-Aug-2021","-","-","-","     6690.80","       57910596","         2232.56"
"04-Aug-2021","-","-","-","     6672.03","       57635380","         2372.83"
"05-Aug-2021","-","-","-","     6678.45","       71128330","         3291.46"
"06-Aug-2021","-","-","-","     6655.48","      107305824","         3638.39"
"09-Aug-2021","     6653.85","     6664.10","     6553.80","     6582.20","-","-"
"10-Aug-2021","     6605.30","     6627.45","     6514.80","     6547.40","-","-"
"11-Aug-2021","     6566.20","     6634.55","     6508.75","     6626.55","-","-"
"12-Aug-2021","     6636.35","     6662.50","     6625.70","     6642.90","-","-"
"13-Aug-2021","     6663.35","     6695.10","     6645.90","     6688.85","-","-"
"16-Aug-2021","     6698.80","     6781.60","     6674.45","     6751.10","-","-"
"17-Aug-2021","     6754.15","     6776.90","     6687.35","     6749.45","-","-"
"18-Aug-2021","     6780.30","     6801.10","     6741.75","     6766.65","-","-"
"20-Aug-2021","     6710.45","     6754.40","     6668.30","     6692.80","-","-"
"20-Aug-2021","-","-","-","     6692.80","-","-"
"23-Aug-2021","     6774.85","     6776.90","     6651.30","     6722.10","-","-"
"23-Aug-2021","-","-","-","     6722.10","-","-"
"24-Aug-2021","     6776.90","     6843.10","     6774.55","     6835.05","-","-"
"24-Aug-2021","-","-","-","     6835.05","-","-"
"25-Aug-2021","     6880.90","     6936.60","     6871.35","     6911.40","-","-"
"25-Aug-2021","-","-","-","     6911.40","-","-"
"26-Aug-2021","     6949.00","     6986.30","     6928.20","     6968.40","-","-"
"26-Aug-2021","-","-","-","     6968.40","-","-"
"27-Aug-2021","     7011.05","     7030.60","     6938.90","     6992.45","-","-"
"27-Aug-2021","-","-","-","     6992.45","-","-"
"30-Aug-2021","     7036.05","     7125.50","     7014.85","     7114.75","-","-"
"30-Aug-2021","-","-","-","     7114.75","-","-"
"31-Aug-2021","     7132.60","     7186.95","     7085.25","     7174.70","-","-"
"01-Sep-2021","     7244.45","     7256.50","     7191.55","     7205.40","-","-"
"01-Sep-2021","-","-","-","     7205.40","-","-"
"02-Sep-2021","     7169.30","     7243.65","     7168.15","     7225.15","-","-"
"02-Sep-2021","-","-","-","     7225.15","-","-"
"03-Sep-2021","     7266.10","     7412.35","     7245.55","     7404.40","-","-"
"03-Sep-2021","-","-","-","     7404.40","-","-"
"06-Sep-2021","     7449.10","     7490.90","     7373.35","     7388.40","-","-"
"06-Sep-2021","-","-","-","     7388.40","-","-"
"07-Sep-2021","     7388.75","     7406.45","     7321.00","     7338.60","-","-"
"07-Sep-2021","-","-","-","     7338.60","-","-"
"08-Sep-2021","     7316.90","     7386.10","     7296.75","     7376.00","-","-"
"08-Sep-2021","-","-","-","     7376.00","-","-"
"09-Sep-2021","     7364.25","     7432.25","     7339.80","     7391.65","-","-"
"09-Sep-2021","-","-","-","     7391.65","-","-"
"13-Sep-2021","     7389.70","     7403.45","     7313.20","     7367.05","-","-"
"13-Sep-2021","-","-","-","     7367.05","-","-"
"14-Sep-2021","     7389.40","     7430.70","     7384.50","     7401.15","-","-"
"14-Sep-2021","-","-","-","     7401.15","-","-"
"15-Sep-2021","     7415.35","     7501.05","     7415.30","     7463.70","-","-"
"15-Sep-2021","-","-","-","     7463.70","-","-"
"16-Sep-2021","     7472.65","     7560.35","     7468.20","     7554.05","-","-"
"16-Sep-2021","-","-","-","     7554.05","-","-"
"17-Sep-2021","     7586.75","     7602.05","     7423.10","     7446.85","-","-"
"17-Sep-2021","-","-","-","     7446.85","-","-"
"20-Sep-2021","     7348.30","     7471.10","     7327.35","     7351.65","-","-"
"20-Sep-2021","-","-","-","     7351.65","-","-"
"21-Sep-2021","     7351.95","     7437.45","     7330.40","     7416.45","-","-"
"21-Sep-2021","-","-","-","     7416.45","-","-"
"22-Sep-2021","     7415.50","     7472.15","     7406.15","     7440.10","-","-"
"22-Sep-2021","-","-","-","     7440.10","-","-"
"23-Sep-2021","     7490.15","     7577.60","     7488.45","     7567.10","-","-"
"23-Sep-2021","-","-","-","     7567.10","-","-"
"24-Sep-2021","     7602.10","     7613.40","     7497.25","     7525.70","-","-"
"24-Sep-2021","-","-","-","     7525.70","-","-"
"27-Sep-2021","     7555.80","     7634.30","     7545.95","     7624.55","-","-"
"27-Sep-2021","-","-","-","     7624.55","-","-"
"28-Sep-2021","     7657.65","     7746.70","     7643.20","     7726.10","-","-"
"28-Sep-2021","-","-","-","     7726.10","-","-"
"29-Sep-2021","     7720.50","     7804.15","     7658.45","     7777.45","-","-"
"29-Sep-2021","-","-","-","     7777.45","-","-"
"30-Sep-2021","     7795.20","     7807.50","     7716.25","     7774.40","-","-"
"30-Sep-2021","-","-","-","     7774.40","-","-"
"01-Oct-2021","     7769.60","     7863.40","     7753.00","     7797.00","-","-"
"01-Oct-2021","-","-","-","     7797.00","-","-"
"04-Oct-2021","     7851.90","     7856.80","     7799.50","     7819.30","-","-"
"04-Oct-2021","-","-","-","     7819.30","-","-"
"05-Oct-2021","     7847.15","     8043.25","     7837.85","     8036.00","-","-"
"05-Oct-2021","-","-","-","     8036.00","-","-"
"06-Oct-2021","     8092.50","     8161.45","     7990.65","     8017.70","-","-"
"06-Oct-2021","-","-","-","     8017.70","-","-"
"07-Oct-2021","     8097.35","     8098.85","     7980.20","     7995.80","-","-"
"07-Oct-2021","-","-","-","     7995.80","-","-"
"08-Oct-2021","     8058.10","     8090.30","     7969.55","     8060.65","-","-"
"08-Oct-2021","-","-","-","     8060.65","-","-"
"11-Oct-2021","     8110.05","     8168.60","     8080.25","     8086.55","-","-"
"11-Oct-2021","-","-","-","     8086.55","-","-"
"12-Oct-2021","     8087.70","     8111.60","     8030.50","     8100.80","-","-"
"12-Oct-2021","-","-","-","     8100.80","-","-"
"13-Oct-2021","     8127.25","     8168.55","     8087.90","     8133.25","-","-"
"13-Oct-2021","-","-","-","     8133.25","-","-"
"14-Oct-2021","     8148.80","     8195.65","     8140.70","     8155.45","-","-"
